LABORATORY,FSRI 
TEST IDENT,EngWoodFurn_HF25_3
OPERATOR,Dow
MATERIAL,Engineered Wood Furniture - Wood Veneer on MDF
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03958353400230408
SPEC HOLDER DIFF,-566
SPECIMEN MASS,112.26000213623047
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5362
TIME TO IGN,116.25
END OF TEST SCAN,4882
END OF TEST TIME,1220.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.98 x 101.01 x 13.72 mm
POST TEST CMT,"Sample warped during the test forming a bridge shape, elevating the surface near the center by about 1 cm. See post test pictures"
