LABORATORY,FSRI 
TEST IDENT,PEbat_HF50_2
OPERATOR,Dow
MATERIAL,"PE batting, 1.75 inch thick"
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-96.45999145507812
SPECIMEN MASS,6.019999980926514
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,807
TIME TO IGN,48
END OF TEST SCAN,327
END OF TEST TIME,81.75
TEST STATUS,1
PRE TEST CMT,without frame or grid
POST TEST CMT,corners of foil collapsed towards center shortly prior to extinguishment
