LABORATORY,FSRI 
TEST IDENT,PEbat_H25_2V2
OPERATOR,Morrissey
MATERIAL,1.75'' PE Batting
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-96.5
SPECIMEN MASS,6.099999904632568
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4670
TIME TO IGN,994
END OF TEST SCAN,4190
END OF TEST TIME,1047.5
TEST STATUS,1
PRE TEST CMT,"Approximate thickness: 1.75 inches"
POST TEST CMT,"Two opposing corners of the foil pan lifted upwards in the last few seconds prior to flame extinguishment, causing the foil pan to partially fold in half and covering some remaining sample mass."
