LABORATORY,FSRI 
TEST IDENT,Stack_HF50_2
OPERATOR,Morrissey
MATERIAL,"1"" PUF, 1.75"" PE Batting, PE Fabric"
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-95.1199951171875
SPECIMEN MASS,15.949999809265137
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,968
TIME TO IGN,15.25
END OF TEST SCAN,488
END OF TEST TIME,122
TEST STATUS,1
PRE TEST CMT,test w/o grid or frame
POST TEST CMT,Fabric folded onto igniter causing weight measurement spike
